                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.72051,                0.62523,                 1.2717,                0.89057,                 0.9076,                0.92866,                0.76903,                0.78361,                0.58573,                 1.0053,             0.00063432,             0.00063432,             0.00063432
                     47,                0.71332,                0.61037,                 1.2582,                0.89998,                0.91009,                0.93153,                0.76968,                0.80897,                 0.6195,                 1.0525,              0.0006204,              0.0006204,              0.0006204
                     48,                0.72037,                0.62037,                 1.2673,                0.89343,                0.92076,                0.93217,                0.76611,                0.83831,                0.63186,                 1.0556,              0.0006064,              0.0006064,              0.0006064
                     49,                0.69986,                0.61307,                 1.2563,                0.89989,                0.91841,                0.92936,                0.76629,                0.84942,                0.67661,                 1.1134,             0.00059235,             0.00059235,             0.00059235
                     50,                0.69361,                0.59956,                 1.2513,                  0.904,                0.91623,                 0.9272,                 0.7638,                0.89954,                0.69789,                 1.1508,             0.00057826,             0.00057826,             0.00057826
                     51,                0.69366,                0.59623,                 1.2532,                 0.9133,                0.89616,                0.92507,                0.77321,                0.80817,                0.58373,                 1.0186,             0.00056413,             0.00056413,             0.00056413
                     52,                0.68833,                0.58921,                 1.2501,                0.90438,                0.91674,                 0.9302,                0.78106,                0.80319,                0.63382,                  1.026,                0.00055,                0.00055,                0.00055
                     53,                0.69351,                0.59784,                 1.2465,                0.90313,                0.91707,                0.93147,                0.78353,                0.76599,                0.56416,                0.96066,             0.00053587,             0.00053587,             0.00053587
                     54,                0.68658,                0.58897,                 1.2452,                0.88766,                0.92916,                0.92993,                0.77836,                0.77839,                0.57649,                0.97468,             0.00052174,             0.00052174,             0.00052174
                     55,                0.68123,                0.58601,                 1.2438,                0.89068,                0.92376,                0.92704,                0.78054,                0.77264,                0.58854,                0.98165,             0.00050765,             0.00050765,             0.00050765
                     56,                0.68031,                0.58292,                 1.2409,                0.90191,                  0.925,                0.93358,                0.78442,                0.78456,                 0.5847,                 1.0089,              0.0004936,              0.0004936,              0.0004936
                     57,                0.68269,                0.58188,                 1.2396,                0.90091,                0.90562,                0.92914,                0.77483,                0.79732,                0.56054,                 1.0073,              0.0004796,              0.0004796,              0.0004796
                     58,                0.65818,                0.56377,                 1.2263,                0.89396,                0.92624,                0.93123,                0.77964,                0.77609,                0.56651,                0.98755,             0.00046568,             0.00046568,             0.00046568
                     59,                0.68123,                0.58189,                 1.2349,                0.90527,                0.92007,                0.93113,                0.78537,                0.75895,                0.54434,                0.96214,             0.00045184,             0.00045184,             0.00045184
                     60,                0.67377,                0.57374,                 1.2333,                0.90692,                0.92609,                0.92996,                0.78361,                0.77191,                0.55953,                0.97845,             0.00043809,             0.00043809,             0.00043809
